Date,Description,Amount,Category
2024-01-01,SHOPIFY BASIC,-29.0,Software
2024-02-01,SHOPIFY BASIC,-29.0,Software
2024-03-01,SHOPIFY BASIC,-29.0,Software
2024-01-05,MAILCHIMP STD,-20.0,Marketing
2024-02-05,MAILCHIMP STD,-20.0,Marketing
2024-03-05,MAILCHIMP STD,-20.0,Marketing
2024-01-10,QUICKBOOKS ADV,-90.0,Software
2024-02-10,QUICKBOOKS ADV,-90.0,Software
2024-03-10,QUICKBOOKS ADV,-90.0,Software
2024-01-15,SQUARESPACE,-16.0,Software
2024-02-15,SQUARESPACE,-16.0,Software
2024-03-15,SQUARESPACE,-16.0,Software
2024-01-20,GOOGLE WORKSPACE,-12.0,Productivity
2024-02-20,GOOGLE WORKSPACE,-12.0,Productivity
2024-03-20,GOOGLE WORKSPACE,-12.0,Productivity
2024-01-07,USPS BULK SHIP,-87.5,Shipping
2024-01-17,STAPLES SUPPLIES,-134.0,Office
2024-02-04,FACEBOOK ADS,-200.0,Marketing
2024-02-18,ALIBABA.COM,-450.0,Inventory
2024-03-02,UPS SHIPPING,-62.4,Shipping
2024-03-11,GOOGLE ADS,-150.0,Marketing
2024-01-25,STRIPE FEES,-34.2,Fees
2024-02-25,STRIPE FEES,-41.8,Fees
2024-03-25,STRIPE FEES,-38.6,Fees
2024-03-18,COFFEE MEETING,-22.0,Business Meals
