Date,Description,Amount,Category
2024-01-01,CANVA PRO,-14.99,Design
2024-02-01,CANVA PRO,-14.99,Design
2024-03-01,CANVA PRO,-14.99,Design
2024-01-05,EPIDEMIC SOUND,-15.0,Music
2024-02-05,EPIDEMIC SOUND,-15.0,Music
2024-03-05,EPIDEMIC SOUND,-15.0,Music
2024-01-09,STORYBLOCKS,-15.0,Media
2024-02-09,STORYBLOCKS,-15.0,Media
2024-03-09,STORYBLOCKS,-15.0,Media
2024-01-13,SPLICE SOUNDS,-7.99,Music
2024-02-13,SPLICE SOUNDS,-7.99,Music
2024-03-13,SPLICE SOUNDS,-7.99,Music
2024-01-17,ARTSTATION PRO,-9.95,Design
2024-02-17,ARTSTATION PRO,-9.95,Design
2024-03-17,ARTSTATION PRO,-9.95,Design
2024-01-21,DESCRIPT APP,-12.0,Video
2024-02-21,DESCRIPT APP,-12.0,Video
2024-03-21,DESCRIPT APP,-12.0,Video
2024-01-10,UNSPLASH PLUS,-12.0,Design
2024-02-06,MOTION ARRAY,-30.0,Video
2024-02-20,TYPEFACE STUDIO,-49.0,Design
2024-03-04,SHUTTERSTOCK,-29.99,Media
2024-03-12,TIKTOK ADS,-50.0,Marketing
2024-01-25,BEHANCE PRO,-9.99,Design
2024-03-27,GUMROAD FEE,-10.0,Fees
