Date,Description,Amount,Category
2024-01-01,DISNEY PLUS,-13.99,Entertainment
2024-02-01,DISNEY PLUS,-13.99,Entertainment
2024-03-01,DISNEY PLUS,-13.99,Entertainment
2024-01-01,NETFLIX.COM,-22.99,Entertainment
2024-02-01,NETFLIX.COM,-22.99,Entertainment
2024-03-01,NETFLIX.COM,-22.99,Entertainment
2024-01-05,AMAZON PRIME,-14.99,Shopping
2024-02-05,AMAZON PRIME,-14.99,Shopping
2024-03-05,AMAZON PRIME,-14.99,Shopping
2024-01-10,DUOLINGO PLUS,-6.99,Education
2024-02-10,DUOLINGO PLUS,-6.99,Education
2024-03-10,DUOLINGO PLUS,-6.99,Education
2024-01-15,ICLOUD STORAGE,-2.99,Cloud
2024-02-15,ICLOUD STORAGE,-2.99,Cloud
2024-03-15,ICLOUD STORAGE,-2.99,Cloud
2024-01-08,COSTCO WHSL,-187.4,Groceries
2024-01-22,TARGET,-134.9,Shopping
2024-02-03,KIDS SOCCER LEAGUE,-120.0,Education
2024-02-16,MCDONALDS,-38.6,Food
2024-02-24,HOME DEPOT,-67.5,Home
2024-03-02,COSTCO WHSL,-201.3,Groceries
2024-03-09,PEDIATRICIAN,-40.0,Health
2024-03-18,CHUCK E CHEESE,-84.0,Entertainment
2024-01-18,SHELL GAS STATION,-72.0,Transport
2024-02-18,SHELL GAS STATION,-68.5,Transport
