Date,Description,Amount,Category
2024-01-01,GRAMMARLY PREM,-29.95,Productivity
2024-02-01,GRAMMARLY PREM,-29.95,Productivity
2024-03-01,GRAMMARLY PREM,-29.95,Productivity
2024-01-04,LASTPASS PREM,-3.0,Security
2024-02-04,LASTPASS PREM,-3.0,Security
2024-03-04,LASTPASS PREM,-3.0,Security
2024-01-07,NAMECHEAP DOM,-1.98,Hosting
2024-02-07,NAMECHEAP DOM,-1.98,Hosting
2024-03-07,NAMECHEAP DOM,-1.98,Hosting
2024-01-11,ENVATO ELEMENTS,-16.5,Design
2024-02-11,ENVATO ELEMENTS,-16.5,Design
2024-03-11,ENVATO ELEMENTS,-16.5,Design
2024-01-18,READWISE.IO,-7.99,Education
2024-02-18,READWISE.IO,-7.99,Education
2024-03-18,READWISE.IO,-7.99,Education
2024-01-22,POCKET PREMIUM,-4.99,Productivity
2024-02-22,POCKET PREMIUM,-4.99,Productivity
2024-03-22,POCKET PREMIUM,-4.99,Productivity
2024-01-09,CHATGPT PLUS,-20.0,AI Tools
2024-02-09,CHATGPT PLUS,-20.0,AI Tools
2024-03-09,CHATGPT PLUS,-20.0,AI Tools
2024-01-14,HEROKU DYNO,-7.0,Hosting
2024-02-03,PRODUCTHUNT PRO,-19.99,Professional
2024-02-27,FONT AWESOME PRO,-49.0,Design
2024-03-16,DOMAINR SEARCH,-9.0,Hosting
