Date,Description,Amount,Category
2024-01-01,NORDVPN,-4.99,Security
2024-02-01,NORDVPN,-4.99,Security
2024-03-01,NORDVPN,-4.99,Security
2024-01-05,SPOTIFY USA,-9.99,Entertainment
2024-02-05,SPOTIFY USA,-9.99,Entertainment
2024-03-05,SPOTIFY USA,-9.99,Entertainment
2024-01-10,NOTION.SO,-16.0,Productivity
2024-02-10,NOTION.SO,-16.0,Productivity
2024-03-10,NOTION.SO,-16.0,Productivity
2024-01-15,WISE MONTHLY,-9.0,Finance
2024-02-15,WISE MONTHLY,-9.0,Finance
2024-03-15,WISE MONTHLY,-9.0,Finance
2024-01-20,GOOGLE ONE,-2.99,Cloud
2024-02-20,GOOGLE ONE,-2.99,Cloud
2024-03-20,GOOGLE ONE,-2.99,Cloud
2024-01-06,AIRBNB BALI,-780.0,Accommodation
2024-01-10,GRAB RIDE,-5.4,Transport
2024-02-01,AIRBNB LISBON,-1100.0,Accommodation
2024-02-09,RYANAIR,-89.0,Travel
2024-02-15,LOCAL CAFE WFH,-12.3,Food
2024-03-01,HOSTELWORLD,-320.0,Accommodation
2024-03-08,SKYSCANNER FLT,-340.0,Travel
2024-01-18,REVOLUT FX FEE,-8.5,Finance
2024-02-22,CO-WORKING SPACE,-95.0,Office
2024-03-14,TRAVEL INSURANCE,-45.0,Insurance
