Date,Description,Amount,Category
2024-01-01,ADOBE CREATIVE,-54.99,Software
2024-02-01,ADOBE CREATIVE,-54.99,Software
2024-03-01,ADOBE CREATIVE,-54.99,Software
2024-01-05,FIGMA PRO,-15.0,Software
2024-02-05,FIGMA PRO,-15.0,Software
2024-03-05,FIGMA PRO,-15.0,Software
2024-01-10,NOTION.SO,-16.0,Productivity
2024-02-10,NOTION.SO,-16.0,Productivity
2024-03-10,NOTION.SO,-16.0,Productivity
2024-01-15,ZOOM PRO,-14.99,Productivity
2024-02-15,ZOOM PRO,-14.99,Productivity
2024-03-15,ZOOM PRO,-14.99,Productivity
2024-01-20,QUICKBOOKS,-30.0,Software
2024-02-20,QUICKBOOKS,-30.0,Software
2024-03-20,QUICKBOOKS,-30.0,Software
2024-01-07,WEWORK DAY PASS,-29.0,Office
2024-01-19,STAPLES,-44.2,Office
2024-02-02,UPWORK FEE,-18.5,Professional
2024-02-13,LINKEDIN ADS,-75.0,Marketing
2024-02-27,COFFEE SHOP,-7.8,Food
2024-03-06,CANVA PRO ANNUAL,-119.99,Software
2024-03-15,USPS SHIPPING,-14.3,Office
2024-01-30,HEALTH INSURANCE,-310.0,Health
2024-02-28,HEALTH INSURANCE,-310.0,Health
2024-03-11,AMAZON.COM,-38.99,Office
