Date,Description,Amount,Category
2024-01-01,SLACK PRO,-7.25,Productivity
2024-02-01,SLACK PRO,-7.25,Productivity
2024-03-01,SLACK PRO,-7.25,Productivity
2024-01-05,GITHUB PRO,-4.0,Software
2024-02-05,GITHUB PRO,-4.0,Software
2024-03-05,GITHUB PRO,-4.0,Software
2024-01-10,DROPBOX PLUS,-11.99,Cloud
2024-02-10,DROPBOX PLUS,-11.99,Cloud
2024-03-10,DROPBOX PLUS,-11.99,Cloud
2024-01-15,ZOOM PRO,-14.99,Productivity
2024-02-15,ZOOM PRO,-14.99,Productivity
2024-03-15,ZOOM PRO,-14.99,Productivity
2024-01-20,NOTION TEAM,-16.0,Productivity
2024-02-20,NOTION TEAM,-16.0,Productivity
2024-03-20,NOTION TEAM,-16.0,Productivity
2024-01-09,HOME OFFICE DEPOT,-230.0,Office
2024-01-21,INTERNET BILL,-79.99,Utilities
2024-02-07,STANDING DESK CO,-349.0,Office
2024-02-21,INTERNET BILL,-79.99,Utilities
2024-03-04,LOGITECH,-89.99,Electronics
2024-03-21,INTERNET BILL,-79.99,Utilities
2024-01-15,BLUE BOTTLE COFFEE,-7.5,Food
2024-02-12,AMAZON.COM,-54.99,Office
2024-03-10,WEBCAM PRO,-119.0,Electronics
2024-02-19,IKEA,-175.0,Home
