Date,Description,Amount,Category
2024-01-01,SPOTIFY STUDENT,-4.99,Entertainment
2024-02-01,SPOTIFY STUDENT,-4.99,Entertainment
2024-03-01,SPOTIFY STUDENT,-4.99,Entertainment
2024-01-15,NETFLIX.COM,-6.99,Entertainment
2024-02-15,NETFLIX.COM,-6.99,Entertainment
2024-03-15,NETFLIX.COM,-6.99,Entertainment
2024-01-10,CHEGG STUDY,-14.95,Education
2024-02-10,CHEGG STUDY,-14.95,Education
2024-03-10,CHEGG STUDY,-14.95,Education
2024-01-05,MICROSOFT 365,-6.99,Software
2024-02-05,MICROSOFT 365,-6.99,Software
2024-03-05,MICROSOFT 365,-6.99,Software
2024-01-20,DISCORD NITRO,-9.99,Entertainment
2024-02-20,DISCORD NITRO,-9.99,Entertainment
2024-03-20,DISCORD NITRO,-9.99,Entertainment
2024-01-07,CAMPUS BOOKSTORE,-89.99,Education
2024-01-18,DOMINOS PIZZA,-24.5,Food
2024-02-03,UBER EATS,-18.75,Food
2024-02-22,TARGET,-43.2,Shopping
2024-03-05,CAMPUS CAFE,-8.4,Food
2024-03-14,AMAZON.COM,-32.99,Shopping
2024-01-28,ATM WITHDRAWAL,-60.0,Cash
2024-02-28,LAUNDROMAT,-12.0,Utilities
2024-03-22,UBER,-11.5,Transport
2024-01-14,WALMART,-55.3,Groceries
