Date,Description,Amount,Category
2024-01-01,NYT DIGITAL,-17.0,News
2024-02-01,NYT DIGITAL,-17.0,News
2024-03-01,NYT DIGITAL,-17.0,News
2024-01-04,THE ATLANTIC,-9.99,News
2024-02-04,THE ATLANTIC,-9.99,News
2024-03-04,THE ATLANTIC,-9.99,News
2024-01-08,ECONOMIST DIGI,-22.0,News
2024-02-08,ECONOMIST DIGI,-22.0,News
2024-03-08,ECONOMIST DIGI,-22.0,News
2024-01-12,BLINKIST PLUS,-12.99,Education
2024-02-12,BLINKIST PLUS,-12.99,Education
2024-03-12,BLINKIST PLUS,-12.99,Education
2024-01-16,SUBSTACK SUB A,-5.0,News
2024-02-16,SUBSTACK SUB A,-5.0,News
2024-03-16,SUBSTACK SUB A,-5.0,News
2024-01-20,SUBSTACK SUB B,-8.0,News
2024-02-20,SUBSTACK SUB B,-8.0,News
2024-03-20,SUBSTACK SUB B,-8.0,News
2024-01-03,AUDIBLE CREDIT,-14.95,Entertainment
2024-02-03,AUDIBLE CREDIT,-14.95,Entertainment
2024-03-03,AUDIBLE CREDIT,-14.95,Entertainment
2024-01-22,MEDIUM MEMBER,-5.0,Education
2024-02-11,WSJ DIGITAL,-24.99,News
2024-03-14,COURSERA PLUS,-59.0,Education
2024-03-28,MASTERCLASS,-15.0,Education
