Date,Description,Amount,Category
2024-01-01,NETFLIX.COM,-15.99,Entertainment
2024-02-01,NETFLIX.COM,-15.99,Entertainment
2024-03-01,NETFLIX.COM,-15.99,Entertainment
2024-01-05,AMAZON PRIME,-14.99,Shopping
2024-02-05,AMAZON PRIME,-14.99,Shopping
2024-03-05,AMAZON PRIME,-14.99,Shopping
2024-01-10,ANCESTRY.COM,-24.99,Hobbies
2024-02-10,ANCESTRY.COM,-24.99,Hobbies
2024-03-10,ANCESTRY.COM,-24.99,Hobbies
2024-01-15,AARP MEMBERSHIP,-12.0,Membership
2024-02-15,AARP MEMBERSHIP,-12.0,Membership
2024-03-15,AARP MEMBERSHIP,-12.0,Membership
2024-01-20,AUDIBLE,-14.95,Entertainment
2024-02-20,AUDIBLE,-14.95,Entertainment
2024-03-20,AUDIBLE,-14.95,Entertainment
2024-01-08,WALGREENS,-34.5,Health
2024-01-19,PUBLIX GROCERY,-112.3,Groceries
2024-02-06,DOCTORS VISIT,-45.0,Health
2024-02-14,CRACKER BARREL,-28.9,Food
2024-02-22,PUBLIX GROCERY,-98.7,Groceries
2024-03-01,GOLF COURSE FEE,-55.0,Hobbies
2024-03-12,CVSFARMACY,-41.2,Health
2024-03-19,PUBLIX GROCERY,-105.8,Groceries
2024-01-26,FLORIDA POWER,-140.0,Utilities
2024-02-26,FLORIDA POWER,-131.0,Utilities
