Date,Description,Amount,Category
2024-01-01,NETFLIX.COM,-15.99,Entertainment
2024-02-01,NETFLIX.COM,-15.99,Entertainment
2024-03-01,NETFLIX.COM,-15.99,Entertainment
2024-01-01,SPOTIFY USA,-9.99,Entertainment
2024-02-01,SPOTIFY USA,-9.99,Entertainment
2024-03-01,SPOTIFY USA,-9.99,Entertainment
2024-01-05,LINKEDIN PREMIUM,-39.99,Professional
2024-02-05,LINKEDIN PREMIUM,-39.99,Professional
2024-03-05,LINKEDIN PREMIUM,-39.99,Professional
2024-01-08,AMAZON PRIME,-14.99,Shopping
2024-02-08,AMAZON PRIME,-14.99,Shopping
2024-03-08,AMAZON PRIME,-14.99,Shopping
2024-01-12,HEADSPACE APP,-12.99,Health
2024-02-12,HEADSPACE APP,-12.99,Health
2024-03-12,HEADSPACE APP,-12.99,Health
2024-01-10,STARBUCKS,-6.5,Food
2024-01-20,WHOLE FOODS MKT,-92.3,Groceries
2024-02-04,UBER,-18.2,Transport
2024-02-15,ZARA,-79.0,Shopping
2024-02-25,SWEETGREEN,-14.75,Food
2024-03-03,AIRBNB,-210.0,Travel
2024-03-17,CVSFARMACY,-22.8,Health
2024-01-25,CON EDISON,-88.0,Utilities
2024-02-25,CON EDISON,-91.0,Utilities
2024-03-13,LULULEMON,-98.0,Shopping
