Date,Description,Amount,Category
2024-01-01,HBO MAX,-15.99,Entertainment
2024-02-01,HBO MAX,-15.99,Entertainment
2024-03-01,HBO MAX,-15.99,Entertainment
2024-01-04,PARAMOUNT PLUS,-5.99,Entertainment
2024-02-04,PARAMOUNT PLUS,-5.99,Entertainment
2024-03-04,PARAMOUNT PLUS,-5.99,Entertainment
2024-01-08,PEACOCK PREM,-5.99,Entertainment
2024-02-08,PEACOCK PREM,-5.99,Entertainment
2024-03-08,PEACOCK PREM,-5.99,Entertainment
2024-01-12,APPLE TV PLUS,-9.99,Entertainment
2024-02-12,APPLE TV PLUS,-9.99,Entertainment
2024-03-12,APPLE TV PLUS,-9.99,Entertainment
2024-01-16,MUBI FILMS,-10.99,Entertainment
2024-02-16,MUBI FILMS,-10.99,Entertainment
2024-03-16,MUBI FILMS,-10.99,Entertainment
2024-01-20,CRITERION CHNL,-10.99,Entertainment
2024-02-20,CRITERION CHNL,-10.99,Entertainment
2024-03-20,CRITERION CHNL,-10.99,Entertainment
2024-01-09,YOUTUBE PREMIUM,-13.99,Entertainment
2024-02-09,YOUTUBE PREMIUM,-13.99,Entertainment
2024-03-09,YOUTUBE PREMIUM,-13.99,Entertainment
2024-01-25,VUDU RENTAL,-5.99,Entertainment
2024-02-18,FANDANGO MOVIE,-17.5,Entertainment
2024-03-03,HULU LIVE TV,-70.99,Entertainment
2024-03-22,SHUDDER HORROR,-5.99,Entertainment
