Date,Description,Amount,Category
2024-01-01,PELOTON DIGITAL,-24.0,Fitness
2024-02-01,PELOTON DIGITAL,-24.0,Fitness
2024-03-01,PELOTON DIGITAL,-24.0,Fitness
2024-01-05,MYFITNESSPAL PRO,-9.99,Health
2024-02-05,MYFITNESSPAL PRO,-9.99,Health
2024-03-05,MYFITNESSPAL PRO,-9.99,Health
2024-01-10,GYM MEMBERSHIP,-49.99,Fitness
2024-02-10,GYM MEMBERSHIP,-49.99,Fitness
2024-03-10,GYM MEMBERSHIP,-49.99,Fitness
2024-01-15,HEADSPACE APP,-12.99,Health
2024-02-15,HEADSPACE APP,-12.99,Health
2024-03-15,HEADSPACE APP,-12.99,Health
2024-01-20,WHOOP MEMBERSHIP,-30.0,Fitness
2024-02-20,WHOOP MEMBERSHIP,-30.0,Fitness
2024-03-20,WHOOP MEMBERSHIP,-30.0,Fitness
2024-01-06,GNARLY NUTRITION,-54.99,Health
2024-01-18,LULULEMON,-128.0,Fitness
2024-02-02,WHOLE FOODS MKT,-103.5,Groceries
2024-02-14,VITAMIN SHOPPE,-67.4,Health
2024-02-28,RUNNING SHOES CO,-149.99,Fitness
2024-03-07,SPORTS CHALET,-89.0,Fitness
2024-03-19,SMOOTHIE KING,-9.8,Food
2024-01-24,CHIPOTLE,-13.75,Food
2024-02-10,PHYSIO THERAPY,-80.0,Health
2024-03-25,AMAZON.COM,-38.99,Shopping
