Date,Description,Amount,Category
2024-01-01,XBOX GAME PASS,-14.99,Gaming
2024-02-01,XBOX GAME PASS,-14.99,Gaming
2024-03-01,XBOX GAME PASS,-14.99,Gaming
2024-01-05,PLAYSTATION PLUS,-17.99,Gaming
2024-02-05,PLAYSTATION PLUS,-17.99,Gaming
2024-03-05,PLAYSTATION PLUS,-17.99,Gaming
2024-01-10,TWITCH PRIME,-8.99,Entertainment
2024-02-10,TWITCH PRIME,-8.99,Entertainment
2024-03-10,TWITCH PRIME,-8.99,Entertainment
2024-01-15,DISCORD NITRO,-9.99,Entertainment
2024-02-15,DISCORD NITRO,-9.99,Entertainment
2024-03-15,DISCORD NITRO,-9.99,Entertainment
2024-01-20,SPOTIFY USA,-9.99,Entertainment
2024-02-20,SPOTIFY USA,-9.99,Entertainment
2024-03-20,SPOTIFY USA,-9.99,Entertainment
2024-01-08,STEAM PURCHASE,-59.99,Gaming
2024-01-22,BEST BUY,-79.99,Gaming
2024-02-09,EPIC GAMES STORE,-29.99,Gaming
2024-02-18,AMAZON.COM,-44.99,Gaming
2024-03-01,NEWEGG,-189.0,Electronics
2024-03-14,DOMINOS PIZZA,-27.5,Food
2024-01-16,REDBULL ENERGY,-18.4,Food
2024-02-26,GAMESTOP,-64.99,Gaming
2024-03-20,RAZER GEAR,-89.99,Gaming
2024-01-29,WALMART,-35.6,Shopping
