Date,Description,Amount,Category
2024-01-01,NETFLIX.COM,-15.99,Entertainment
2024-02-01,NETFLIX.COM,-15.99,Entertainment
2024-03-01,NETFLIX.COM,-15.99,Entertainment
2024-01-01,DISNEY PLUS,-13.99,Entertainment
2024-02-01,DISNEY PLUS,-13.99,Entertainment
2024-03-01,DISNEY PLUS,-13.99,Entertainment
2024-01-15,SPOTIFY USA,-9.99,Entertainment
2024-02-15,SPOTIFY USA,-9.99,Entertainment
2024-03-15,SPOTIFY USA,-9.99,Entertainment
2024-01-10,AMAZON PRIME,-14.99,Shopping
2024-02-10,AMAZON PRIME,-14.99,Shopping
2024-03-10,AMAZON PRIME,-14.99,Shopping
2024-01-05,ADOBE INC,-54.99,Software
2024-02-05,ADOBE INC,-54.99,Software
2024-03-05,ADOBE INC,-54.99,Software
2024-01-20,LINKEDIN PREMIUM,-39.99,Professional
2024-02-20,LINKEDIN PREMIUM,-39.99,Professional
2024-01-08,NYT SUBSCRIPTION,-17.00,News
2024-02-08,NYT SUBSCRIPTION,-17.00,News
2024-03-08,NYT SUBSCRIPTION,-17.00,News
2024-01-03,DUOLINGO PLUS,-6.99,Education
2024-02-03,DUOLINGO PLUS,-6.99,Education
2024-03-03,DUOLINGO PLUS,-6.99,Education
2024-01-12,DROPBOX INC,-11.99,Cloud
2024-02-12,DROPBOX INC,-11.99,Cloud
2024-03-12,DROPBOX INC,-11.99,Cloud
2024-01-25,WHOLE FOODS MKT,-87.43,Groceries
2024-02-14,STARBUCKS,-6.75,Food
2024-02-19,UBER,-23.40,Transport
2024-03-01,ATM WITHDRAWAL,-200.00,Cash
2024-03-18,AMAZON.COM,-34.99,Shopping
